Name of College/University:,Cornell University
Mailing Address:,410 Thurston Avenue
City/State/Zip/Country:,"Ithaca, NY 14850"
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,607-255-2000
WWW Home Page Address:,www.cornell.edu
Admissions Phone Number:,(607) 255-5241
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,410 Thurston Aveue
City/State/Zip/Country:,"Ithaca, NY 14850"
Admissions Fax Number:,(607) 255-0659
Admissions E-mail Address:,admissions@cornell.edu
"",,FULL-TIME,,,,PART-TIME,,
"",Men,Women,Another Gender,Men,,Women,,Another Gender
Undergraduates,,,,,,,,
"Degree-seeking, first-time,",,,,,,,,
first-year,"1,570","1,921",0,,0,0,,0
"Other first-year, degree-seeking",19,24,0,,1,0,,0
All other degree-seeking,"5,378","6,473",0,,27,17,,0
Total degree-seeking,"6,967","8,418",0,,28,17,,0
All other undergraduates,,,,,,,,
"",166,136,0,,1,2,,0
enrolled in credit courses,,,,,,,,
Total undergraduates,"7,133","8,554",0,,29,19,,0
Graduate,,,,,,,,
"Degree-seeking, first-time","1,625","1,712",0,,72,62,,0
All other degree-seeking,"2,998","2,994",0,,307,275,,0
All other graduates enrolled in,,,,,,,,
"",45,63,0,,4,6,,0
credit courses,,,,,,,,
Total graduate,"4,668","4,769",0,,383,343,,0
Total all students,"11,801","13,323",0,,412,362,,0
"",,Degree-Seeking,Total
"",Degree-Seeking,,
"",,Undergraduates,Undergraduates (both
"",First-Time,,
"",,(include first-time,degree & non-degree-
"",First Year,,
"",,first-year),seeking)
Nonresidents,336,"1,153","1,591"
Hispanic/Latino,538,"1,734","2,311"
"Black or African American, non-Hispanic",290,839,"1,150"
"White, non-Hispanic","1,071","4,016","5,147"
"American Indian or Alaska Native, non-Hispanic",5,30,40
"Asian, non-Hispanic",823,"2,802","3,670"
"Native Hawaiian or other Pacific Islander, non-Hispanic",5,15,21
"Two or more races, non-Hispanic",213,633,862
Race and/or ethnicity unknown,210,717,943
TOTAL,"3,491","11,939","15,735"
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
"",,,Stafford Loan,,
"",,Federal Pell,,a Pell Grant or a,
"",,,who did not,,(sum of 3 columns to
"",,Grant,,subsidized,
"",,,receive a Pell,,the left)
"",,,,Stafford Loan,
"",,,Grant,,
A,"Initial 2016 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
"",,466,542,"2,307","3,315"
"",degree-seeking undergraduate,,,,
"",students,,,,
B,"Of the initial 2016 cohort, how",,,,
"",many did not persist and did not,,,,
"",graduate for the following,,,,
"",reasons:,,,,
"",• Deceased,,,,
"",• Permanently Disabled,-,-,7,7
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
C,"Final 2016 cohort, after adjusting",,,,
"",,466,542,"2,300","3,308"
"",for allowable exclusions,,,,
D,"Of the initial 2015 cohort, how",,,,
"",many completed the program in,,,,
"",,403,487,"2,065","2,955"
"","four years or less (by Aug. 31,",,,,
"",2020),,,,
E,"Of the initial 2016 cohort, how",,,,,,,,
"",many completed the program in,,,,,,,,
"",more than four years but in five,,24,,17,,115,,156
"","years or less (after Aug. 31, 2020",,,,,,,,
"","and by Aug. 31, 2021)",,,,,,,,
F,,,,,,,,,
"","Of the initial 2016 cohort, how",,,,,,,,
"",many completed the program in,,,,,,,,
"",more than five years but in six,,5,,10,,26,,41
"","years or less (after Aug. 31, 2021",,,,,,,,
"","and by Aug. 31, 2022)",,,,,,,,
G,,,,,,,,,
"",Total graduating within six years,,,,,,,,
"",,,432,,514,,"2,206",,"3,152"
"","(sum of lines D, E, and F)",,,,,,,,
H,,,,,,,,,
"",Six-year graduation rate for 2016,,,,,,,,
"",,92.70%,,94.83%,,95.91%,,95.28%,
"",cohort (G divided by C),,,,,,,,
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
