Name:,Valerie L. Roberts
Title:,Business Analyst I
Office:,Office of Institutional Research & Planning
Mailing Address:,"221 Uncle Heinie Way, Suite 211, Lyman Hall"
City/State/Zip/Country:,"Atlanta, GA 30332-0530"
Phone:,404-894-3311
Fax:,
E-mail Address:,requests@irp.gatech.edu
Name of College/University:,Georgia Institute of Technology
Mailing Address:,North Avenue
City/State/Zip/Country:,"Atlanta, GA 30332 USA"
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,404-894-2000
WWW Home Page Address:,https://www.gatech.edu
Admissions Phone Number:,404-894-4154
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,219 Uncle Heinie Way
City/State/Zip/Country:,"Atlanta, GA 30332-0320 USA"
Admissions Fax Number:,
Admissions E-mail Address:,admission@gatech.edu
X,Semester,If your academic year has changed because of the COVID-
"",Quarter,"19 pandemic, please indicate as other below."
"",Trimester,
"",4-1-4,
"",Continuous,
"",Differs by program (describe):,
"",Certificate
"",Diploma
"",Associate
"",Transfer Associate
"",Terminal Associate
X,Bachelor's
X,Postbachelor's certificate
X,Master's
"",Post-master's certificate
X,Doctoral degree research/scholarship
"",Doctoral degree – professional practice
"",Doctoral degree -- other
"",,,FULL-TIME,,,,PART-TIME,,
"",Men,,Women,Another Gender,Men,,Women,,Another Gender
Undergraduates,,,,,,,,,
"Degree-seeking, first-time, first-",,,,,,,,,
year,2099,,"1,530",,11,,6,,
"Other first-year, degree-seeking",671,,311,,31,,14,,
All other degree-seeking,"6,914",,"4,585",,733,,474,,
Total degree-seeking,"9,684",,"6,426",0,775,,494,,0
All other undergraduates enrolled,,,,,,,,,
in credit courses,73,,24,,646,,293,,
Total undergraduates,"9,757",,"6,450",0,"1,421",,787,,0
Graduate,,,,,,,,,
"Degree-seeking, first-time",1685,,871,,2893,,1115,,
All other degree-seeking,3480,,1667,,11418,,3688,,
All other graduates enrolled in,,,,,,,,,
credit courses,2,,0,,48,,14,,
Total graduate,5167,,2538,0,14359,,4817,,0
Total all students,"14,924",,"8,988",0,"15,780",,"5,604",,0
"",Degree-Seeking,,
"",,Degree-Seeking,Total
"",First-Time,,
"",,Undergraduates,Undergraduates (both
"",First Year,,
"",,(include first-time,degree & non-degree-
"",,first-year),seeking)
Nonresidents,285,"1,766","1,867"
Hispanic/Latino,339,"1,424","1,456"
"Black or African American, non-Hispanic",322,"1,366","1,405"
"White, non-Hispanic","1,270","6,668","6,876"
"American Indian or Alaska Native, non-Hispanic",0,,
"Asian, non-Hispanic","1,228","5,202","5,764"
"Native Hawaiian or other Pacific Islander, non-Hispan",0,5,5
"Two or more races, non-Hispanic",163,773,814
Race and/or ethnicity unknown,39,175,228
TOTAL,"3,646","17,379","18,415"
"","Recipients of aFederal Pell Grant","Recipients of aSubsidizedStafford Loan whodid not receive aPell Grant","Students who didnot receive eithera Pell Grant or asubsidizedStafford Loan","Total(sum of 3 columns tothe left)"
"Initial 2016 cohort of first-time, full-time, bachelor's (or equivalent)degree-seeking undergraduatestudents",315,315,2241,2871
"Of the initial 2016 cohort, how manydid not persist and did not graduatefor the following reasons:• Deceased• Permanently Disabled• Armed Forces• Foreign Aid Service of the FederalGovernment• Official church missions• Report Total Allowable Exclusions",0,0,8,8
"Final 2016 cohort, after adjusting forallowable exclusions",315,315,2233,2863
"Of the initial 2016 cohort, how manycompleted the program in four yearsor less (by Aug. 31, 2020)",142,179,1280,1601
"Of the initial 2016 cohort, how manycompleted the program in more thanfour years but in five years or less(after Aug. 31, 2020 and by Aug. 31,2021)",123,97,759,979
"Of the initial 2016 cohort, how manycompleted the program in more thanfive years but in six years or less(after Aug. 31, 2021 and by Aug. 31,2022)",12,12,47,71
Total graduating within six years (sum,,,,
"of lines D, E, and F)",277,288,2086,2651
Six-year graduation rate for 2016,,,,
cohort (G divided by C),87.94%,91.43%,93.42%,92.60%
"",,,Recipients of a,Students who did,
"",,,Subsidized,not receive either,Total
"",,Federal Pell Grant Stafford Loan who Recipients of a,did not receive a,a Pell Grant or a subsidized,(sum of 3 columns to
"",,,Pell Grant,Stafford Loan,the left)
"","Initial 2015 cohort of first-time, full-",,,,
A,"time, bachelor's (or equivalent)",,,,
"",degree-seeking undergraduate,351,311,2425,3087
"",students,,,,
"","Of the initial 2015 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
B,• Permanently Disabled,2,0,0,2
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
C,"Final 2015 cohort, after adjusting for",,,,
"",allowable exclusions,349,311,2425,3085
"","Of the initial 2015 cohort, how many",,,,
D,completed the program in four years,157,139,1278,1574
"","or less (by Aug. 31, 2019)",,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in more than,,,,
E,four years but in five years or less,136,137,899,1172
"","(after Aug. 31, 2019 and by Aug. 31,",,,,
"",2020),,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in more than,,,,
F,five years but in six years or less,12,10,68,90
"","(after Aug. 31, 2020 and by Aug. 31,",,,,
"",2021),,,,
G,Total graduating within six years (sum,,,,
"","of lines D, E, and F)",305,286,2245,2836
H,Six-year graduation rate for 2015,,,,
"",cohort (G divided by C),87.39%,91.96%,92.58%,91.93%
"",,2019 Cohort,,2018 Cohort,
B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:",,,,
B13,"Of the initial cohort, how many did not persist and did not graduate for the following reasons:",,,,
"",• Death,,,,
"",• Permanently Disability,,,,
"","• Service in the armed forces,",,,,
"",• Foreign aid service of the federal government,,,,
"",• Official church missions,,,,
"",• Report total allowable exclusions,,,,
B14,"Final cohort, after adjusting for allowable exclusions:",,0,,0
B15,Completers of programs of less than two years duration (total):,,,,
B16,Completers of programs of less than two years within 150 percent of normal time:,,,,
B17,Completers of programs of at least two but less than four years (total):,,,,
Completers of programs of at least two but less than four-years within 150 percent of normal time:,,
Total transfers-out (within three years) to other institutions:,,
Total transfers to two-year institutions:,,
Total transfers to four-year institutions:,,
97.90%
"Total first-time, first-year men who applied","33,820"
"Total first-time, first-year women who applied","16,790"
"Total first-time, first-year men who were admitted","4,847"
"Total first-time, first-year women who were admitted","3,825"
"Total full-time, first-time, first-year men who enrolled",2111
"Total part-time, first-time, first-year men who enrolled",n/a
"Total full-time, first-time, first-year women who enrolled",1539
"Total part-time, first-time, first-year women who enrolled",n/a
WAITING LIST,TOTAL
Number of qualified applicants offered a place on waiting list:,"7,122"
Number accepting a place on the waiting list:,"4,903"
Number of wait-listed students admitted:,41
Is your waiting list ranked?,Yes,No X
"If yes, do you release that information to students?",,
Do you release that information to school counselors?,,
Required,Recommended
Total academic units,17
English,4
Mathematics,4
"Sc Oiefn tcheese, units that must be",4
Fo lraeb,
"",2
ign language,2
Social studies,3
History,
Academic electives,
Computer Science,
Visual/Performing Arts,
Other (specify),
"",Very Important,Important,Considered,Not Considered
Academic,,,,
Rigor of secondary school record,X,,,
Class rank,,,,X
Academic GPA,X,,,
Standardized test scores,,,X,
Application Essay,,X,,
Recommendation(s),,,X,
Nonacademic,,,,
Interview,,,,X
Extracurricular activities,,X,,
Talent/ability,,,X,
Character/personal qualities,X,,,
First generation,,,X,
Alumni/ae relation,,,,X
Geographical residence,,X,,
State residency,X,,,
Religious affiliation/commitment,,,,X
Racial/ethnic status,,,X,
Volunteer work,,,X,
Work experience,,,X,
Level of applicant’s interest,,,,X
"",Yes,No
"Does your institution make use of SAT, ACT, or SAT Subject Test scores",,
"in admission decisions for first-time, first-year, degree-seeking",X,
applicants?,,
"",,,ADMISSION,,
"",Require,Recommend,Require for Some,,
"",,,,Consider if,Not
"",,,,Submitted,Considered
SAT or ACT,X,,,,
ACT Only,,,,,
SAT Only,,,,,
Assessment,25th Percentile,50th Percentile,75th Percentile
SAT Composite,1370,1470,1530
Writing,670,720,760
SAT Math,700,760,790
ACT Composite,31,33,35
ACT Math,30,33,35
ACT English,32,34,35
ACT Writing,,,
ACT Science,30,34,35
ACT Reading,32,34,36
Score Range,SAT Evidence-,SAT Math
700-800,64.43%,75.56%
600-699,30.45%,19.72%
500-599,4.79%,4.28%
400-499,0.29%,0.41%
300-399,0.04%,0.04%
200-299,0.00%,0.00%
Totals should = 100%,100.00%,100.01%
Score Range,SAT Composite
1400-1600,70.18%
1200-1399,25.69%
1000-1199,3.91%
800-999,0.18%
600-799,0.04%
400-599,0.00%
Totals should = 100%,100.00%
Score Range,ACT Composite,ACT English,ACT Math,ACT Reading,ACT Science
30-36,82.46%,83.46%,75.59%,86.47%,79.03%
24-29,14.60%,12.10%,20.69%,9.81%,16.82%
18-23,2.65%,3.79%,2.86%,3.22%,3.72%
12-17,0.29%,0.57%,0.86%,0.43%,0.43%
6-11,0.00%,0.07%,0.00%,0.07%,0.00%
Below 6,0.00%,0.00%,0.00%,0.00%,0.00%
Totals should = 100%,100.00%,99.99%,100.00%,100.00%,100.00%
Assessment,Percent
Percent in top tenth of high school graduating class,86.51%
Percent in top quarter of high school graduating class,97.45%
Percent in top half of high school graduating class,99.19% Top half +
Percent in bottom half of high school graduating class,0.81% bottom half = 100%
Percent in bottom quarter of high school graduating class,0.20%
"Percent of total first-time, first-year students who submitted high school",
class rank:,40.82%
Score Range,Percent
Percent who had GPA of 4.0,91.00%
Percent who had GPA between 3.75 and 3.99,7.11%
Percent who had GPA between 3.50 and 3.74,0.88%
Percent who had GPA between 3.25 and 3.49,0.49%
Percent who had GPA between 3.00 and 3.24,0.25%
Percent who had GPA between 2.50 and 2.99,0.16%
