Name of College/University:,MICHIGAN STATE UNIVERSITY
Mailing Address:,426 AUDITORIUM RD
City/State/Zip/Country:,EAST LANSING  MI  48824
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,517-355-1855
WWW Home Page Address:,www.msu.edu
Admissions Phone Number:,517-355-8332
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,250 ADMINISTRATION BUILDING
City/State/Zip/Country:,EAST LANSING  MI  48824
Admissions Fax Number:,517-353-1647
Admissions E-mail Address:,admis@msu.edu
"",FULL-TIME,PART-TIME,,,,
"",Men,Women,Another Gender,Men,Women,Another Gender
Undergraduates,,,,,,
"Degree-seeking, first-time, first-year","4,647","5,008",,83,91,
"Other first-year, degree-seeking",613,638,,51,76,
All other degree-seeking,"11,943","13,023",,"1,532","1,316",
Total degree-seeking,"17,203","18,669",,"1,666","1,483",
"All other undergraduates enrolledin credit courses",42,68,,33,37,
Total undergraduates,"17,245","18,737",,"1,699","1,520",
Graduate,,,,,,
"Degree-seeking, first-time",,,,,,
All other degree-seeking,3637,4436,,806,1467,
"All other graduates enrolled incredit courses",72,165,,82,157,
Total graduate,3709,4601,,888,1624,
Total all students,"20,954","23,338",,"2,587","3,144",
"","Degree-SeekingFirst-TimeFirst Year","Degree-SeekingUndergraduates (include first-time first-year)","TotalUndergraduates (bothdegree & non-degree-seeking)"
Nonresidents,702,"2,232","2,340"
Hispanic/Latino,605,"2,349","2,358"
"Black or African American, non-Hispanic",552,"2,588","2,590"
"White, non-Hispanic","6,490","26,269","26,300"
"American Indian or Alaska Native, non-Hispanic",30,93,93
"Asian, non-Hispanic",826,"3,022","3,044"
"Native Hawaiian or other Pacific Islander, non-Hispanic",4,26,26
"Two or more races, non-Hispanic",481,"1,591","1,593"
Race and/or ethnicity unknown,139,851,857
TOTAL,"9,829","39,021","39,201"
"","Recipients of aFederal PellGrant","Recipients of aSubsidizedStafford Loanwho did notreceive a PellGrant","Students who did notreceive either a Pell Grantor a subsidized StaffordLoan","Total(sum of 3 columns tothe left)"
"Initial 2016 cohort of first-time, full-time, bachelor's (or equivalent)degree-seeking undergraduatestudents",1504,1401,4951,7856
"Of the initial 2016 cohort, how manydid not persist and did not graduatefor the following reasons:• Deceased• Permanently Disabled• Armed Forces• Foreign Aid Service of the FederalGovernment• Official church missions• Report Total Allowable Exclusions",2,1,3,6
"Final 2016 cohort, after adjusting forallowable exclusions",1502,1400,4948,7850
"Of the initial 2015 cohort, how manycompleted the program in four yearsor less (by Aug. 31, 2020)",687,902,3351,4940
"Of the initial 2016 cohort, how manycompleted the program in more thanfour years but in five years or less(after Aug. 31, 2020 and by Aug. 31,2021)",341,193,780,1314
"Of the initial 2016 cohort, how manycompleted the program in more thanfive years but in six years or less(after Aug. 31, 2021 and by Aug. 31,2022)",61,36,79,176
"Total graduating within six years (sumof lines D, E, and F)",1089,1131,4210,6430
"Six-year graduation rate for 2016cohort (G divided by C)",72.5%,80.8%,85.1%,81.9%
"",,,Subsidized,Students who did not,Total
"",,Recipients of a,Recipients of a,,
"",,,Stafford Loan,receive either a Pell Grant,
"",,Federal Pell,Subsidized,Students who did not,Total
"",,Recipients of a,who did not,or a subsidized Stafford,(sum of 3 columns to
"",,,Stafford Loan,receive either a Pell Grant,
"",,Federal Pell,,,
"",,,who did not,or a subsidized Stafford,(sum of 3 columns to
"",,Grant,,,
"",,,receive a Pell,Loan,the left)
"","Initial 2015 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
A,,1792,1959,4097,7848
"",degree-seeking undergraduate,,,,
"",students,,,,
"","Of the initial 2015 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
B,• Permanently Disabled,1,3,1,5
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
"","Final 2015 cohort, after adjusting for",,,,
C,,1791,1956,4096,7843
"",allowable exclusions,,,,
"","Of the initial 2015 cohort, how many",,,,
D,completed the program in four years,766,1208,2689,4663
"","or less (by Aug. 31, 2019)",,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in more than,,,,
E,four years but in five years or less,449,416,706,1571
"","(after Aug. 31, 2019 and by Aug. 31,",,,,
"",2020),,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in more than,,,,
F,five years but in six years or less,78,58,85,221
"","(after Aug. 31, 2020 and by Aug. 31,",,,,
"",2021),,,,
"",Total graduating within six years (sum,,,,
G,,1293,1682,3480,6455
"","of lines D, E, and F)",,,,
"",Six-year graduation rate for 2015,,,,
H,,72.2%,86.0%,85.0%,82.3%
"",cohort (G divided by C),,,,
"",,2019 Cohort,,2018 Cohort,
B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:",,,,
B13,"Of the initial cohort, how many did not persist and did not graduate for the following reasons:",,,,
"",• Death,,,,
"",• Permanently Disability,,,,
"","• Service in the armed forces,",,,,
"",• Foreign aid service of the federal government,,,,
"",• Official church missions,,,,
"",• Report total allowable exclusions,,,,
B14,"Final cohort, after adjusting for allowable exclusions:",,0,,0
B15,Completers of programs of less than two years duration (total):,,,,
B16,Completers of programs of less than two years within 150 percent of normal time:,,,,
B17,Completers of programs of at least two but less than four years (total):,,,,
B18,Completers of programs of at least two but less than four-years within 150 percent of normal time:,,,,
B19,Total transfers-out (within three years) to other institutions:,,,,
B20,Total transfers to two-year institutions:,,,,
B21,Total transfers to four-year institutions:,,,,
"Total first-time, first-year men who applied",24979
"Total first-time, first-year women who applied",28362
"Total first-time, first-year of another gender who applied",
"Total first-time, first-year men who were admitted",21668
"Total first-time, first-year women who were admitted",25246
"Total first-time, first-year of another gender who were admitted",
"Total full-time, first-time, first-year men who enrolled","4,647"
"Total part-time, first-time, first-year men who enrolled",83
"Total full-time, first-time, first-year women who enrolled",5008
"Total part-time, first-time, first-year women who enrolled",91
"Total full-time, first-time, first-year of another gender who enrolled"
"Total part-time, first-time, first-year of another gender who enrolled"
"Total first-time, first-year (degree-seeking) who applied",53341
"Total first-time, first-year (degree-seeking) who were admitted",46914
"Total first-time, first-year (degree-seeking) enrolled",9829
WAITING LIST,TOTAL
Number of qualified applicants offered a place on waiting list:,"3,000+"
Number accepting a place on the waiting list:,"2,000+"
Number of wait-listed students admitted:,12
"",Required,Recommended
Total academic units,14,16
English,3,4
Mathematics,3,3
Science,3,3
"Of these, units that must be",,
"",,1
lab,,
Foreign language,2,2
Social studies,3,3
History,,
Academic electives,,
Computer Science,,
Visual/Performing Arts,,
Other (specify),,
"",Very Important,Important,Considered,Not Considered
Academic,,,,
Rigor of secondary school record,,X,,
Class rank,,,X,
Academic GPA,X,,,
Standardized test scores,,,X,
Application Essay,X,,,
Recommendation(s),,,X,
Nonacademic,,,,
Interview,,,X,
Extracurricular activities,,X,,
Talent/ability,,X,,
Character/personal qualities,,X,,
First generation,,,X,
Alumni/ae relation,,,X,
Geographical residence,,X,,
State residency,,,X,
Religious affiliation/commitment,,,,X
Racial/ethnic status,,,,X
Volunteer work,,,X,
Work experience,,,X,
Level of applicant’s interest,,X,,
"",Yes,No
"Does your institution make use of SAT, ACT, or SAT Subject Test scores",,
"in admission decisions for first-time, first-year, degree-seeking",X,
applicants?,,
"",,,ADMISSION,,
"",,,,Consider if,Not
"",Require,Recommend,Require for Some,,
"",,,,Submitted,Considered
SAT or ACT,,X,,,
ACT Only,,,,,
SAT Only,,,,,
Submitting SAT Scores,51%,4974
Submitting ACT Scores,14%,1347
Assessment,25th Percentile,50th Percentile,75th Percentile
