Name:,
Title:,
Office:,Office of Institutional Research and Data Integrity
Mailing Address:,"3 Washington Square Villlage, 1M"
City/State/Zip/Country:,"New York, NY 10012"
Phone:,
Fax:,
E-mail Address:,external.reporting@nyu.edu
Name of College/University:,New York University
Mailing Address:,70 Washington Square South
City/State/Zip/Country:,
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,212-998-1212
WWW Home Page Address:,www.nyu.edu
Admissions Phone Number:,212-998-4500
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,383 Lafayette Street
City/State/Zip/Country:,"New York, NY 10003 USA"
Admissions Fax Number:,
Admissions E-mail Address:,admissions@nyu.edu
x,Transfer Associate
x,Terminal Associate
x,Bachelor's
x,Postbachelor's certificate
x,Master's
x,Post-master's certificate
"",,FULL-TIME,,,,PART-TIME,,
"",Men,Women,Another Gender,Men,,Women,,Another Gender
Undergraduates,,,,,,,,
"Degree-seeking, first-time, first-year","2,410","3,754",,,9,11,,
"Other first-year, degree-seeking",602,942,,,34,50,,
All other degree-seeking,"8,484","12,014",,,385,441,,
Total degree-seeking,"11,496","16,710",0,,428,502,,0
All other undergraduates enrolled in,53,95,,,42,75,,
Total undergraduates,"11,549","16,805",0,,470,577,,0
Graduate,,,,,,,,
"Degree-seeking, first-time","3,353","5,000",,,506,779,,
All other degree-seeking,"5,902","8,018",,,"2,585","3,375",,
All other graduates enrolled in credit,19,17,,,69,88,,
Total graduate,"9,274","13,035",0,,"3,160","4,242",,0
Total all students,"20,823","29,840",0,,"3,630","4,819",,0
"",,Degree-Seeking,Total
"",Degree-Seeking,,
"",,Undergraduates,Undergraduates (both
"",First-Time,,
"",,(include first-time,degree & non-degree-
"",First Year,,
"",,first-year),seeking)
Nonresidents,"1,556","5,892","7,532"
Hispanic/Latino,"1,000","3,827","4,838"
"Black or African American, non-Hispanic",481,"1,800","2,290"
"White, non-Hispanic","1,311","5,050","6,404"
"American Indian or Alaska Native, non-Hispanic",11,35,46
"Asian, non-Hispanic","1,314","4,562","5,889"
"Native Hawaiian or other Pacific Islander, non-Hispanic",8,23,31
"Two or more races, non-Hispanic",275,850,"1,134"
Race and/or ethnicity unknown,228,913,"1,237"
TOTAL,"6,184","22,952","29,401"
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
"",,,Stafford Loan,,
"",,Federal Pell,,a Pell Grant or a,
"",,,who did not,,(sum of 3 columns to
"",,Grant,,subsidized,
"",,,receive a Pell,,the left)
"",,,,Stafford Loan,
"",,,Grant,,
A,,,,,
"","Initial 2016 cohort of first-time, full-time,",,,,
"",bachelor's (or equivalent) degree-,1258,934,3882,6074
"",seeking undergraduate students,,,,
B,,,,,
"","Of the initial 2016 cohort, how many did",,,,
"",not persist and did not graduate for the,,,,
"",following reasons:,,,,
"",• Deceased,,,,
"",• Permanently Disabled,2,0,12,14
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
C,"Final 2016 cohort, after adjusting for",,,,
"",,1256,934,3870,6060
"",allowable exclusions,,,,
D,,,,,
"","Of the initial 2016 cohort, how many",,,,
"",completed the program in four years or,946,765,3044,4755
"","less (by Aug. 31, 2020)",,,,
E,,,,,
"","Of the initial 2016 cohort, how many",,,,
"",completed the program in more than four,,,,
"",,110,45,265,420
"",years but in five years or less (after Aug.,,,,
"","31, 2020 and by Aug. 31, 2021)",,,,
F,,,,,
"","Of the initial 2016 cohort, how many",,,,
"",completed the program in more than five,,,,
"",,21,11,72,104
"",years but in six years or less (after Aug.,,,,
"","31, 2021 and by Aug. 31, 2022)",,,,
Total graduating within six years (sum of,,,,
"",1077,821,3381,5279
"lines D, E, and F)",,,,
Six-year graduation rate for 2016 cohort,,,,
"",85.7%,87.9%,87.4%,87.1%
(G divided by C),,,,
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
"",,,Stafford Loan,,
"",,Federal Pell,,a Pell Grant or a,
"",,,who did not,,(sum of 3 columns to
"",,Grant,,subsidized,
"",,,receive a Pell,,the left)
"",,,,Stafford Loan,
"",,,Grant,,
"","Initial 2015 cohort of first-time, full-time,",,,,
A,bachelor's (or equivalent) degree-,1214,920,3745,5879
"",seeking undergraduate students,,,,
"","Of the initial 2015 cohort, how many did",,,,
"",not persist and did not graduate for the,,,,
