Name:,Ottlie Webb
Title:,Data Analyst
Office:,Institutional Data Analytics + Assessment
Mailing Address:,"Ernest C. Young Hall, 155 S Grant St"
City/State/Zip/Country:,"West Lafayette, IN 47907"
Phone:,N/A
Fax:,
E-mail Address:,owebb@purdue.edu
Name of College/University:,Purdue University
Mailing Address:,475 Stadium Drive
City/State/Zip/Country:,West Lafayette IN 47907-2050
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,(765) 494-4600
WWW Home Page Address:,Purdue University Web site
"",http://www.purdue.edu
Admissions Phone Number:,(765) 494-1776
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,475 Stadium Drive
City/State/Zip/Country:,West Lafayette IN 47907-2050
Admissions Fax Number:,(765) 494-0544
Admissions E-mail Address:,admissions@purdue.edu
"",,,FULL-TIME,,,,PART-TIME,
"",Men,,Women,Another Gender,Men,,Women,Another Gender
Undergraduates,,,,,,,,
"Degree-seeking, first-time",5128,,"4,147",,,15,63,
"Other first-year, degree-seeking",702,,433,,,44,246,
All other degree-seeking,"14,930",,"10,793",,,769,526,
Total degree-seeking,"20,760",,"15,373",0,,828,835,0
All other undergraduates enrolled,6,,3,,,76,68,
Total undergraduates,"20,766",,"15,376",0,,904,903,0
Graduate,,,,,,,,
"Degree-seeking, first-time",1177,,932,,,606,465,
All other degree-seeking,2730,,2027,,,2986,1871,
All other graduates enrolled in,2,,1,,,79,59,
Total graduate,3909,,2960,0,,3671,2395,0
Total all students,"24,675",,"18,336",0,,"4,575","3,298",0
"",Degree-Seeking,,
"",,Degree-Seeking,Total
"",First-Time,,
"",,Undergraduates,Undergraduates (both
"",First Year,(include first-time,degree & non-degree-
"",,first-year),seeking)
Nonresidents,760,"4,243","4,248"
Hispanic/Latino,725,"2,496","2,505"
"Black or African American, non-Hispanic",232,936,946
"White, non-Hispanic","5,559","22,943","23,047"
"American Indian or Alaska Native, non-Hispanic",7,28,28
"Asian, non-Hispanic","1,375","4,842","4,855"
"Native Hawaiian or other Pacific Islander, non-Hispa",4,19,20
"Two or more races, non-Hispanic",528,"1,748","1,754"
Race and/or ethnicity unknown,163,541,546
TOTAL,"9,353","37,796","37,949"
"","Recipients of aFederal PellGrant","Recipients of aSubsidizedStafford Loanwho did notreceive a PellGrant","Students who didnot receive eithera Pell Grant or asubsidizedStafford Loan","Total(sum of 3 columns tothe left)"
"In itial 2015 cohort of first-time, full-time, bachelor's (or equivalent)degree-seeking undergraduatestudents","1,193","1,044","4,991","7,228"
"Of the initial 2015 cohort, how manydid not persist and did not graduatefor the following reasons:• Deceased• Permanently Disabled• Armed Forces• Foreign Aid Service of the FederalGovernment• Official church missions• Report Total Allowable Exclusions",2,-,1,3
"Final 2015 cohort, after adjusting forallowable exclusions","1,191","1,044","4,990","7,225"
"Of the initial 2015 cohort, how manycompleted the program in four yearsor less (by Aug. 31, 2019)",672,655,"3,199","4,526"
"Of the initial 2015 cohort, how manycompleted the program in more thanfour years but in five years or less(after Aug. 31, 2019 and by Aug. 31,2020)",183,168,881,"1,232"
"Of the initial 2015 cohort, how manycompleted the program in more thanfive years but in six years or less(after Aug. 31, 2021 and by Aug. 31,2022)",57,36,184,277
"Total graduating within six years(sum of lines D, E, and F)",912,859,"4,264","6,035"
Six-year graduation rate for 2016,,,,
cohort (G divided by C),0.77,0.82,0.85,0.84
"",,Recipients of a,,
"",Recipients of a,,,
"",,Subsidized,,
"",,,Students who did,
"",,Stafford Loan,,
"",,,not receive either,Total
"",Federal Pell,,,
"",,who did not,,
"",,,a Pell Grant or a,
"",Grant,,,(sum of 3 columns to
"",,receive a Pell,,
"",,,subsidized,
"",,,,the left)
"",,Grant,,
"",,,Stafford Loan,
"Initial 2014 cohort of first-time, full-",,,,
"Ati me, bachelor's (or equivalent) degree-seeking undergraduate","1,172","1,001","4,680","6,853"
students,,,,
"Of the initial 2014 cohort, how many",,,,
did not persist and did not graduate,,,,
for the following reasons:,,,,
• Deceased,,,,
• Permanently Disabled,1,-,4,5
• Armed Forces,,,,
• Foreign Aid Service of the Federal,,,,
Government,,,,
• Official church missions,,,,
• Report Total Allowable Exclusions,,,,
"Final 2014 cohort, after adjusting for",,,,
allowable exclusions,1171,1001,4676,6848
"Of the initial 2014 cohort, how many",,,,
completed the program in four years,652,597,"2,900",4149
"or less (by Aug. 31, 2018)",,,,
"Of the initial 2014 cohort, how many",,,,
completed the program in more than,,,,
four years but in five years or less,188,179,904,1271
"(after Aug. 31, 2018 and by Aug. 31,",,,,
2019),,,,
"Of the initial 2014 cohort, how many",,,,
completed the program in more than,,,,
five years but in six years or less,47,32,193,272
"(after Aug. 31, 2019 and by Aug. 31,",,,,
2020),,,,
Total graduating within six years,,,,
"(sum of lines D, E, and F)",887,808,3997,5692
Six-year graduation rate for 2014,,,,
cohort (G divided by C),0.76,0.81,0.85,0.83
"",2018 Cohort,,2017 Cohort,
"Initial cohort, total of first-time, full-time degree/certificate-seeking students:",,,,
"Of the initial cohort, how many did not persist and did not graduate for the following reasons:",,,,
• Death,,,,
• Permanently Disability,,,,
"• Service in the armed forces,",,,,
• Foreign aid service of the federal government,,,,
• Official church missions,,,,
• Report total allowable exclusions,,,,
"Final cohort, after adjusting for allowable exclusions:",,0,,0
Completers of programs of less than two years duration (total):,,,,
Completers of programs of less than two years within 150 percent of normal time:,,,,
Completers of programs of at least two but less than four years (total):,,,,
Completers of programs of at least two but less than four-years within 150 percent of normal time:,,,,
Total transfers-out (within three years) to other institutions:,,,,
Total transfers to two-year institutions:,,,,
Total transfers to four-year institutions:,,,,
"Total first-time, first-year men who applied",41841
"Total first-time, first-year women who applied",26468
"Total first-time, first-year men who were admitted",19010
"Total first-time, first-year women who were admitted",16985
"Total full-time, first-time, first-year men who enrolled",5128
"Total part-time, first-time, first-year men who enrolled",15
"Total full-time, first-time, first-year women who enrolled",4148
