Name:,Stefanie Davidson
Title:,Data Analyst
Office:,Data & Research Services
Mailing Address:,008 Nagle
City/State/Zip/Country:,"College Station, Texas 77843"
Phone:,979-845-3887
Fax:,979-845-0629
E-mail Address:,dars@tamu.edu
Name of College/University:,Texas A&M University
Mailing Address:,
City/State/Zip/Country:,
Street Address (if different):,
City/State/Zip/Country:,"College Station, TX  77843"
Main Phone Number:,979-845-3211
WWW Home Page Address:,www.tamu.edu
Admissions Phone Number:,979-845-1060
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,PO Box 30014
City/State/Zip/Country:,"College Station, TX  77843-3044"
Admissions Fax Number:,979-845-8737
Admissions E-mail Address:,admissions@tamu.edu
"",,FULL-TIME,,PART-TIME
"",Men,Women,Men,Women
Undergraduates,,,,
"Degree-seeking, first-time",,,,
freshmen,,"5636 5,517",,726 444
"Other first-year, degree-seeking",,766 470,,142 58
All other degree-seeking,"19,650","18,071","2,562","1,988"
Total degree-seeking,"26,052","24,058","3,430","2,490"
All other undergraduates,,,,
enrolled in credit courses,,68 46,,476 103
Total undergraduates,"26,120","24,104","3,906","2,593"
Graduate,,,,
"Degree-seeking, first-time",,2409 2076,,339 471
All other degree-seeking,,4190 3663,,1310 1305
All other graduates enrolled in,,,,
credit courses,,15 6,,11 12
Total graduate,,6614 5745,,1660 1788
Total all students,"32,734","29,849","5,566","4,381"
"",,,Total
"",,Degree-Seeking,
"",Degree-Seeking,,Undergraduates
"",,Undergraduates,
"",First-Time,,(both degree- and
"",,(include first-time,
"",First Year,,non-degree-
"",,first-year),
"",,,seeking)
Nonresident aliens,91,614,728
Hispanic/Latino,"3,025","14,015","14,194"
"Black or African American, non-Hispanic",269,"1,261","1,293"
"White, non-Hispanic","6,754","32,067","32,326"
"American Indian or Alaska Native, non-Hispanic",27,116,119
"Asian, non-Hispanic","1,636","5,757","5,830"
"Native Hawaiian or other Pacific Islander, non-",,,
Hispanic,2,25,25
"Two or more races, non-Hispanic",485,"2,049","2,070"
Race and/or ethnicity unknown,34,126,138
TOTAL,"12,323","56,030","56,723"
"","Recipients of aFederal PellGrant","Recipients of aSubsidizedStafford Loanwho did notreceive a PellGrant","Students who didnot receive eithera Pell Grant or asubsidizedStafford Loan","Total(sum of 3 columnsto the left)"
"Initial 2015 cohort of first-time, full-time, bachelor's (or equivalent)degree-seeking undergraduatestudents",2142,998,5888,9028
"Of the initial 2015 cohort, how manydid not persist and did not graduatefor the following reasons:• Deceased• Permanently Disabled• Armed Forces• Foreign Aid Service of the FederalGovernment• Official church missions• Report Total Allowable Exclusions",,,,
"Final 2015 cohort, after adjusting forallowable exclusions",2142,998,5888,9028
"Of the initial 2015 cohort, how manycompleted the program in four yearsor less (by Aug. 31, 2019)",1170,568,3593,5331
"Of the initial 2015 cohort, how manycompleted the program in more thanfour years but in five years or less(after Aug. 31, 2019 and by Aug. 31,2020)",410,198,1407,2015
"Of the initial 2015 cohort, how manycompleted the program in more thanfive years but in six years or less(after Aug. 31, 2020 and by Aug. 31,2021)",45,16,119,180
"Total graduating within six years (sumof lines D, E, and F)",1625,782,5119,7526
"Six-year graduation rate for 2015cohort (G divided by C)",75.86%,78.36%,86.94%,83.36%
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
"",,,Stafford Loan,,
"",,Federal Pell,,a Pell Grant or a,
"",,,who did not,,(sum of 3 columns
"",,Grant,,subsidized,
"",,,receive a Pell,,to the left)
"",,,,Stafford Loan,
"",,,Grant,,
"","Initial 2014 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
A,,2281,975,6232,9488
"",degree-seeking undergraduate,,,,
"",students,,,,
"","Of the initial 2014 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
B,• Permanently Disabled,,,,
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
"","Final 2014 cohort, after adjusting for",,,,
C,,2281,975,6232,9488
"",allowable exclusions,,,,
"","Of the initial 2014 cohort, how many",,,,
D,completed the program in four years,1117,507,3740,5364
"","or less (by Aug. 31, 2018)",,,,
"","Of the initial 2014 cohort, how many",,,,
"",completed the program in more than,,,,
E,four years but in five years or less,499,222,1553,2274
"","(after Aug. 31, 2018 and by Aug. 31,",,,,
"",2019),,,,
"","Of the initial 2014 cohort, how many",,,,
"",completed the program in more than,,,,
F,five years but in six years or less,51,24,154,229
"","(after Aug. 31, 2019 and by Aug. 31,",,,,
"",2020),,,,
"",Total graduating within six years (sum,,,,
G,,1667,753,5447,7867
"","of lines D, E, and F)",,,,
"",Six-year graduation rate for 2014,,,,
H,,73.08%,77.23%,87.40%,82.92%
"",cohort (G divided by C),,,,
"",,2018 Cohort,,2017 Cohort,
B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:",,,,
B13,"Of the initial cohort, how many did not persist and did not graduate for the",,,,
"",following reasons:,,,,
"",• Death,,,,
"",• Permanently Disability,,,,
"","• Service in the armed forces,",,,,
"",• Foreign aid service of the federal government,,,,
"",• Official church missions,,,,
"",• Report total allowable exclusions,,,,
B14,"Final cohort, after adjusting for allowable exclusions:",,0,,0
B15,Completers of programs of less than two years duration (total):,,,,
B16,Completers of programs of less than two years within 150 percent of normal,,,,
"",time:,,,,
B17,Completers of programs of at least two but less than four years (total):,,,,
B18,Completers of programs of at least two but less than four-years within 150,,,,
"",percent of normal time:,,,,
B19,Total transfers-out (within three years) to other institutions:,,,,
Total transfers to two-year institutions:,,
Total transfers to four-year institutions:,,
92.82%
"Total first-time, first-year (freshman) men who applied",21521
"Total first-time, first-year (freshman) women who applied",22589
"Total first-time, first-year (freshman) men who were admitted",14073
"Total first-time, first-year (freshman) women who were admitted",14214
"Total full-time, first-time, first-year (freshman) men who enrolled",5635
"Total part-time, first-time, first-year (freshman) men who enrolled",726
"Total full-time, first-time, first-year (freshman) women who enrolled",5509
"Total part-time, first-time, first-year (freshman) women who enrolled",444
"Total first-time, first-year (degree-seeking) who applied",44110
"Total first-time, first-year (degree-seeking) who were admitted",28287
"Total first-time, first-year (degree-seeking) who enrolled",12314
WAITING LIST,TOTAL
Number of qualified applicants offered a place on waiting list:,
Number accepting a place on the waiting list:,
Number of wait-listed students admitted:,
"",Units,Units
"",Required,Recommended
Total academic units,22,26
English,4,4
Mathematics,3,4
Science,3,4
"Of these, units that must be",,
"",1,2
lab,,
Foreign language,2,2
Social studies,3,3
History,,
Academic electives,5,7
Computer Science,,
"",1,1
Visual/Performing Arts,,
Other (specify),1,1
"",Very Important,Important,Considered,Not Considered
Academic,,,,
Rigor of secondary school,,,,
"",x,,,
record,,,,
Class rank,x,,,
Academic GPA,x,,,
Standardized test scores,x,,,
Application Essay,,x,,
Recommendation(s),,,x,
Nonacademic,,,,
Interview,,,,x
Extracurricular activities,x,,,
Talent/ability,x,,,
Character/personal qualities,,,x,
First generation,,x,,
Alumni/ae relation,,,,
Geographical residence,,x,,
State residency,,x,,
Religious affiliation/commitment,,,,x
Racial/ethnic status,,,,x
Volunteer work,,x,,
Work experience,,x,,
Level of applicant’s interest,,,x,
"",,,ADMISSION,,
"",Require,Recommend,Require for Some,Consider if,Not
"",,,,Submitted,Used
SAT or ACT,,,,x,
ACT Only,,,,,
SAT Only,,,,,
SAT and SAT Subject Tests or,,,,,
SAT Subject Tests,,,,,
""
""
x
""
""
x
"",
"",
"",
"",
"",
"",
x,x
x
""
""
""
""
x
x
x
x
x
Submitting SAT Scores,68%,7371
Submitting ACT Scores,32%,3442
Assessment,25th Percentile,75th Percentile
SAT Composite,1160,1370
SAT Evidence-Based Reading and,,
"",570,680
Writing,,
SAT Math,570,700
ACT Composite,25,31
ACT Math,24,30
ACT English,23,33
ACT Writing,0,8
"",SAT Evidence-,
Score Range,Based Reading,SAT Math
"",and Writing,
700-800,18.72%,26.28%
600-699,46.71%,38.98%
500-599,30.32%,31.01%
400-499,4.16%,3.62%
300-399,0.07%,0.11%
200-299,0.00%,0.00%
Totals should = 100%,99.99%,100.00%
Score Range,SAT Composite
1400-1600,20.44%
1200-1399,45.94%
1000-1199,30.54%
800-999,3.07%
600-799,0.01%
400-599,0.00%
Totals should = 100%,100.00%
Score Range,ACT Composite,ACT English,ACT Math
30-36,39.92%,38.47%,26.82%
24-29,42.68%,35.39%,51.34%
18-23,15.49%,21.64%,17.69%
12-17,1.92%,4.18%,4.15%
6-11,0.00%,0.32%,0.00%
Below 6,0.00%,0.00%,0.00%
Totals should = 100%,100.00%,100.00%,100.00%
Assessment,Percent
Percent in top tenth of high school graduating class,60%
Percent in top quarter of high school graduating class,89%
Percent in top half of high school graduating class,98% Top half +
Percent in bottom half of high school graduating class,2% bottom half = 100%
Percent in bottom quarter of high school graduating class,0%
"Percent of total first-time, first-year (freshmen) students who submitted",
high school class rank:,76.61%
Score Range,Percent
Percent who had GPA of 4.0,
Percent who had GPA between 3.75 and 3.99,
Percent who had GPA between 3.50 and 3.74,
Percent who had GPA between 3.25 and 3.49,
Percent who had GPA between 3.00 and 3.24,
Percent who had GPA between 2.50 and 2.99,
Percent who had GPA between 2.0 and 2.49,
Percent who had GPA between 1.0 and 1.99,
Percent who had GPA below 1.0,
Totals should = 100%,0.00%
"",Date
Application closing date (fall),12/1
Priority Date,
"Does your institution enroll transfer students? (If no,",
"",x
please skip to Section E),
"If yes, may transfer students earn advanced standing",
credit by transferring credits earned from course work,x
completed at other colleges/universities?,
"",,Admitted,Enrolled
"",Applicants,,
"",,Applicants,Applicants
Men,"3,091","1,457","1,344"
Women,"2,908","1,666","1,438"
Total,"5,999","3,123","2,782"
"",,Recommended,Recommended,Required of,
"",Required of All,,,,Not Required
"",,of All,of Some,Some,
High school transcript,x,,,,
College transcript(s),x,,,,
Essay or personal,,,,,
"",x,,,,
statement,,,,,
Interview,,,,,x
Standardized test scores,,,,,x
Statement of good,,,,,
standing from prior,,,,,x
institution(s),,,,,
D9,,Priority Date,Closing Date,Notification Date,Reply Date,Rolling
"",,,,,,Admission
D9,Fall,,,3/1,,
D9,Winter,,,,,
D9,Spring,,,10/15,,
D9,Summer,,,3/1,,
American Council on Education (ACE),x
College Level Examination Program (CLEP),x
DANTES Subject Standardized Tests (DSST),x
"","First-time, first-",
"",year (freshman),Undergraduates
"",students,
Percent who are from out of state (exclude,,
international/nonresident aliens from the numerator,5%,4%
and denominator),,
Percent of men who join fraternities,,
Percent of women who join sororities,,
"Percent who live in college-owned, -operated, or -",,
"",65%,22%
affiliated housing,,
Percent who live off campus or commute,35%,78%
Percent of students age 25 and older,0%,2%
Average age of full-time students,18,19
Average age of all students (full- and part-time),18,20
"",,At Cooperating,Name of Cooperating
"",On Campus,,
"",,Institution,Institution
Army ROTC is offered:,x,,
Naval ROTC is offered:,x,,
Air Force ROTC is offered:,x,,
G1,,First-Year,Undergraduates
"",PRIVATE INSTITUTIONS,,
"",Tuition:,,
"",PUBLIC INSTITUTIONS,,
"",Tuition: In-district,"$9,208","$9,208"
"",Tuition: In-state (out-of-district):,,
"",Tuition: Out-of-state:,"$36,117","$36,117"
"",Tuition: Non-resident alien,,
"",FOR ALL INSTITUTIONS,,
"",Required Fees,"$3,970","$3,970"
"",Room and Board (on-campus):,"$11,550","$11,550"
"",Room Only (on-campus):,,
"",Board Only (on-campus meal plan):,,
G3,"Do tuition and fees vary by year of study (e.g., sophomore,"
"","xjunior, senior)?"
G4,Do tuition and fees vary by undergraduate instructional
"",program?x
"",,Commuters,Commuters
"",Residents,,
"",,(living at home),(not living at home)
Books and supplies:,"$1,000","$1,000","$1,000"
Room only:,,,
Board only:,,,
Room and board total*,"$11,550","$4,928","$11,550"
Transportation:,"$2,600","$2,600","$4,000"
Other expenses:,,,
PRIVATE INSTITUTIONS:,
PUBLIC INSTITUTIONS:,
In-district:,$317.07
In-state (out-of-district):,$317.07
Out-of-state:,"$1,213.29"
NONRESIDENT ALIENS:,"$1,213.29"
"",,Non-need-
"",Need-based,
"",,based
"",(Include non-,
"",,(Exclude non-
"",need-based aid,
"",,need-based aid
"",use to meet,
"",,use to meet
"",need.),
"",,need.)
Scholarships/Grants,,
Federal,"$62,030,687","$317,594"
"State all states, not only the state in which your institution is",,
located,"$39,173,258","$2,453,094"
"Institutional: Endowed scholarships, annual gifts and tuition",,
"funded grants, awarded by the college, excluding athletic aid and",,
tuition waivers (which are reported below).,"$78,972,022","$31,862,772"
"Scholarships/grants from external sources (e.g. Kiwanis,",,
National Merit) not awarded by the college,"$24,940,649","$21,270,635"
Total Scholarships/Grants,"$205,116,616","$55,904,095"
Self-Help,,
Student loans from all sources (excluding parent loans),"$86,143,367","$56,908,250"
Federal Work-Study,"$2,650,139",
"State and other (e.g., institutional) work-study/employment (Note:",,
Excludes Federal Work-Study captured above.),"$216,120",$0
Total Self-Help,"$89,009,626","$56,908,250"
Parent Loans,"$21,284,333","$38,391,327"
Tuition Waivers,,
Note: Reporting is optional. Report tuition waivers in this row if you,,
choose to report them. Do not report tuition waivers elsewhere.,"$23,508,872","$36,162,611"
Athletic Awards,"$1,407,516","$3,557,714"
"",,,Full-time,Less Than
