Name:,Ryan Cherland
Title:,Assistant Vice Chancellor
Office:,Office of Academic Planning & Institutional Research
Mailing Address:,456 Aldrich Hall
City/State/Zip/Country:,"Irvine, CA 92697-1425"
Phone:,(949) 824-4521
Fax:,(949) 824-1519
E-mail Address:,ryan.cherland@uci.edu
Name of College/University:,"University of California, Irvine"
Mailing Address:,
City/State/Zip/Country:,"Irvine, CA 92697"
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,(949) 824-5011
WWW Home Page Address:,http://www.uci.edu
Admissions Phone Number:,(949) 824-6703
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,260 Aldrich Hall
City/State/Zip/Country:,"Irvine, CA 92697-2951"
Admissions Fax Number:,(949) 824-2951
Admissions E-mail Address:,admissions@uci.edu
""
""
""
""
""
X
X
X
""
X
X
""
"",,,FULL-TIME,,,,PART-TIME,,
"",Men,,Women,Another Gender,Men,,Women,,Another Gender
Undergraduates,,,,,,,,,
"Degree-seeking, first-time, first-",,,,,,,,,
year,2209,,"3,489",86,,2,8,,
"Other first-year, degree-seeking","1,276",,"1,269",39,,29,29,,2
All other degree-seeking,"8,639",,"10,797",116,,341,327,,3
Total degree-seeking,"12,124",,"15,555",241,,372,364,,5
All other undergraduates enrolled,,,,,,,,,
Total undergraduates,"12,124",,"15,555",241,,372,364,,5
Graduate,,,,,,,,,
"Degree-seeking, first-time",1248,,1233,22,,54,36,,1
All other degree-seeking,1972,,2117,46,,286,259,,1
All other graduates enrolled in,,,,,,,,,
Total graduate,3220,,3350,68,,340,295,,2
Total all students,"15,344",,"18,905",309,,712,659,,7
"",,Degree-Seeking,Total
"",Degree-Seeking,,
"",,Undergraduates,Undergraduates (both
"",First-Time,,
"",,(include first-time,degree & non-degree-
"",First Year,,
"",,first-year),seeking)
Nonresidents,611,"3,747","3,747"
Hispanic/Latino,"1,720","7,596","7,596"
"Black or African American, non-Hispanic",128,575,575
"White, non-Hispanic",603,"3,749","3,749"
"American Indian or Alaska Native, non-Hispanic",10,37,37
"Asian, non-Hispanic","2,189","10,915","10,915"
"Native Hawaiian or other Pacific Islander, non-Hispanic",5,41,41
"Two or more races, non-Hispanic",426,"1,609","1,609"
Race and/or ethnicity unknown,102,392,392
TOTAL,"5,794","28,661","28,661"
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
"",,,Stafford Loan,,
"",,Federal Pell,,a Pell Grant or a,
"",,,who did not,,(sum of 3 columns to
"",,Grant,,subsidized,
"",,,receive a Pell,,the left)
"",,,,Stafford Loan,
"",,,Grant,,
A,"Initial 2016 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
"",,2475,882,3184,6541
"",degree-seeking undergraduate,,,,
"",students,,,,
B,,,,,
"","Of the initial 2016 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
"",• Permanently Disabled,,,,
"",,,,4,4
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
C,"Final 2016 cohort, after adjusting for",,,,
"",,2475,882,3180,6537
"",allowable exclusions,,,,
D,,,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in four years,1690,658,2393,4741
"","or less (by Aug. 31, 2020)",,,,
E,"Of the initial 2016 cohort, how many",,,,
"",completed the program in more than,,,,
"",four years but in five years or less,379,100,371,850
"","(after Aug. 31, 2020 and by Aug. 31,",,,,
"",2021),,,,
"Of the initial 2016 cohort, how many",,,,
completed the program in more than,,,,
five years but in six years or less,37,6,30,73
"(after Aug. 31, 2021 and by Aug. 31,",,,,
2022),,,,
Total graduating within six years (sum,,,,
"",2106,764,2794,5664
"of lines D, E, and F)",,,,
Six-year graduation rate for 2016,,,,
"",0.850909091,0.866213152,0.878616352,0.866452501
cohort (G divided by C),,,,
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
"",,,Stafford Loan,,
"",,Federal Pell,,a Pell Grant or a,
"",,,who did not,,(sum of 3 columns to
"",,Grant,,subsidized,
"",,,receive a Pell,,the left)
"",,,,Stafford Loan,
"",,,Grant,,
"","Initial 2015 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
A,,2341,810,2595,5746
"",degree-seeking undergraduate,,,,
"",students,,,,
"","Of the initial 2015 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
