Name of College/University:,"University of California, San Diego"
Mailing Address:,9500 Gilman Drive
City/State/Zip/Country:,"La Jolla, CA 92093 USA"
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,858-534-2230
WWW Home Page Address:,www.ucsd.edu
Admissions Phone Number:,858-534-4831
Admissions Toll-Free Phone Number:,800-207-1710
Admissions Office Mailing Address:,"9500 Gilman Drive, Mail Code 0021"
City/State/Zip/Country:,"La Jolla, CA 92093-0021 USA"
Admissions Fax Number:,858-534-5723
Admissions E-mail Address:,admissionsreply@ucsd.edu
""
X
""
X
X
""
"",,,FULL-TIME,,,,PART-TIME,
"",,,,Data Unavailable/,,,,
"",Men,,Women,Gender,Men,,Women,Data Unavailable/
"",,,,Nonbinary,,,,Gender Nonbinary
Undergraduates,,,,,,,,
"Degree-seeking, first-time, first-",,,,,,,,
year,2680,,"3,596",187,,30,52,1
"Other first-year, degree-seeking","1,419",,"1,487",79,,47,37,3
All other degree-seeking,"10,805",,"11,464",366,,476,363,4
Total degree-seeking,"14,904",,"16,547",632,,553,452,8
All other undergraduates enrolled,,,,,,,,
Total undergraduates,"14,904",,"16,547",632,,553,452,8
Graduate,,,,,,,,
"Degree-seeking, first-time",1484,,1102,87,,105,67,3
All other degree-seeking,2811,,1895,54,,443,327,8
All other graduates enrolled in,0,,0,0,,0,0,0
Total graduate,4295,,2997,141,,548,394,11
Total all students,"19,199",,"19,544",773,,"1,101",846,19
"",Degree-Seeking,,
"",,Degree-Seeking,Total
"",First-Time,,
"",,Undergraduates,Undergraduates (both
"",First Year,,
"",,(include first-time,degree & non-degree-
"",,first-year),seeking)
Nonresidents,596,"4,627","4,627"
Hispanic/Latino,"1,960","7,488","7,488"
"Black or African American, non-Hispanic",253,"1,081","1,081"
"White, non-Hispanic",969,"6,156","6,156"
"American Indian or Alaska Native, non-Hispanic",24,138,138
"Asian, non-Hispanic","2,602","12,780","12,780"
"Native Hawaiian or other Pacific Islander, non-Hispa",10,47,47
"Two or more races, non-Hispanic",,,
Race and/or ethnicity unknown,132,779,779
TOTAL,"6,546","33,096","33,096"
"",,,Recipients of a,,
"",,,Subsidized,Students who did,
"",,Recipients of a,,,
"",,,Stafford Loan,,
"",,,,not receive either,
"",,,,,Total
"",,Federal Pell,,a Pell Grant or a,
"",,Grant,,,
"",,,who did not,,
"",,,,subsidized,
"",,,,,(sum of 3 columns to
"",,,receive a Pell,,
"",,,Grant,,
"",,,,Stafford Loan,
"",,,,,the left)
A,"Initial 2016 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
"",degree-seeking undergraduate,1756,737,3221,5714
"",students,,,,
B,,,,,
"","Of the initial 2016 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
"",• Permanently Disabled,0,0,0,0
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
C,"Final 2016 cohort, after adjusting for",,,,
"",allowable exclusions,1756,737,3221,5714
D,,,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in four years,1119,523,2466,4108
"","or less (by Aug. 31, 2020)",,,,
E,"Of the initial 2016 cohort, how many",,,,
"",completed the program in more than,,,,
"",four years but in five years or less,311,108,377,796
"","(after Aug. 31, 2020 and by Aug. 31,",,,,
"",2021),,,,
F,"Of the initial 2016 cohort, how many",,,,
"",completed the program in more than,,,,
"",five years but in six years or less,43,16,50,109
"","(after Aug. 31, 2021 and by Aug. 31,",,,,
"",2022),,,,
G,,,,,
"",Total graduating within six years,,,,
"","(sum of lines D, E, and F)",1473,647,2893,5013
H,,,,,
"",Six-year graduation rate for 2016,,,,
"",cohort (G divided by C),,,,
"",,0.84,0.88,0.90,0.88
"",,,Recipients of a,,
"",,Recipients of a,Subsidized,,
"",,,,Students who did,
"",,,,,Total
"",,Federal Pell,Stafford Loan,,
"",,,,not receive either,
"",,,,a Pell Grant or a,
"",,Grant,who did not,,
"",,,receive a Pell,,
"",,,,subsidized,(sum of 3 columns to
"",,,,,the left)
"",,,Grant,,
"",,,,Stafford Loan,
"","Initial 2015 cohort of first-time, full-",,,,
A,"time, bachelor's (or equivalent)",,,,
"",degree-seeking undergraduate,,,,
"",,1373,698,3215,5286
"",students,,,,
"","Of the initial 2015 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
B,• Permanently Disabled,0,0,0,0
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
C,"Final 2015 cohort, after adjusting for",,,,
"",allowable exclusions,,,,
"",,1373,698,3215,5286
"","Of the initial 2015 cohort, how many",,,,
D,completed the program in four years,912,498,2450,3860
"","or less (by Aug. 31, 2019)",,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in more than,,,,
E,four years but in five years or less,253,101,384,738
"","(after Aug. 31, 2019 and by Aug. 31,",,,,
"",2020),,,,
"","Of the initial 2015 cohort, how many",,,,
"",completed the program in more than,,,,
F,five years but in six years or less,38,16,71,125
"","(after Aug. 31, 2020 and by Aug. 31,",,,,
"",2021),,,,
G,Total graduating within six years,,,,
"","(sum of lines D, E, and F)",,,,
"",,1203,615,2905,4723
H,Six-year graduation rate for 2015,,,,
"",cohort (G divided by C),,,,
"",,0.88,0.88,0.90,0.89
"Total first-time, first-year men who applied","58,894"
"Total first-time, first-year women who applied","67,389"
"Total first-time, first-year of another/unknown gender who applied","4,971"
"Total first-time, first-year men who were admitted","12,412"
"Total first-time, first-year women who were admitted","17,655"
"Total first-time, first-year of another/unknown gender who were admitted","1,207"
"Total full-time, first-time, first-year men who enrolled","2,680"
"Total part-time, first-time, first-year men who enrolled",30
"Total full-time, first-time, first-year women who enrolled","3,596"
"Total part-time, first-time, first-year women who enrolled",52
"Total full-time, first-time, first-year of another/unknown gender who enroll",187
"Total part-time, first-time, first-year of another/unknown gender who enro",1
"Total first-time, first-year (degree-seeking) who applied","131,254"
"Total first-time, first-year (degree-seeking) who were admitted","31,274"
"Total first-time, first-year (degree-seeking) enrolled","6,546"
WAITING LIST,TOTAL
Number of qualified applicants offered a place on waiting list:,"51,350"
Number accepting a place on the waiting list:,"36,113"
Number of wait-listed students admitted:,"2,400"
"If yes, do you release that information to students?",X,
Do you release that information to school counselors?,,X
"",Required,Recommended
Total academic units,15,18
English,4,4
Mathematics,3,4
Science,2,3
"Of these, units that must be",2,3
Foreign language,2,3
Social studies,0,0
History,2,2
Academic electives,1,1
Computer Science,0,0
Visual/Performing Arts,1,1
Other (specify),0,0
"",Very Important,Important,Considered,Not Considered
Academic,,,,
Rigor of secondary school record,X,,,
Class rank,,,X,
Academic GPA,X,,,
Standardized test scores,,,,X
Application Essay,X,,,
Recommendation(s),,,,X
Nonacademic,,,,
Interview,,,,X
Extracurricular activities,,X,,
