Name:,The University of Chicago
Title:,
Office:,Office of Institutional Analysis
Mailing Address:,"5801 S. Ellis Ave., Suite 510"
City/State/Zip/Country:,"Chicago, IL 60637"
Phone:,773.702.7433
Fax:,
E-mail Address:,institutional-analysis@lists.uchicago.edu
Name of College/University:,The University of Chicago
Mailing Address:,5801 S. Ellis Ave.
City/State/Zip/Country:,"Chicago, IL 60637"
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,773.702.1234
WWW Home Page Address:,uchicago.edu
Admissions Phone Number:,773.702.8650
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,1101 E. 58th St.
City/State/Zip/Country:,"Chicago, IL 60637"
Admissions Fax Number:,773.702.4199
Admissions E-mail Address:,collegeadmissions@uchicago.edu
reporting study abroad students please seFeU thLiLs -lTinIMk. E,,PART-TIME
Men Women,Men,Women
Undergraduates,,
"Degree-seeking, first-time",,
freshmen 1067 986,,0 0
"Other first-year, degree-seeking 85 61",,1 1
"All other degree-seeking 2,788 2,524",,0 0
"Total degree-seeking 3,940 3,571",,1 1
All other undergraduates,,
enrolled in credit courses 2 11,,0 0
"Total undergraduates 3,942 3,582",,1 1
Graduate,,
"Degree-seeking, first-time 1661 1680",,540 350
All other degree-seeking 1085 981,,1452 885
All other graduates enrolled in,,
credit courses 2 2,,68 42
Total graduate 2748 2663,,2060 1277
"Total all students 6,690 6,245","2,061","1,278"
"",,,Total
"",,Degree-Seeking,
"",Degree-Seeking,,Undergraduates
"",,Undergraduates,
"",First-Time,,(both degree- and
"",,(include first-time,
"",First Year,,non-degree-
"",,first-year),
"",,,seeking)
Nonresident aliens,313,"1,186","1,199"
Hispanic/Latino,332,"1,122","1,122"
"Black or African American, non-Hispanic",162,456,456
"White, non-Hispanic",626,"2,513","2,513"
"American Indian or Alaska Native, non-Hispanic",0,1,1
"Asian, non-Hispanic",374,"1,499","1,499"
"Native Hawaiian or other Pacific Islander, non-",,,
Hispanic,0,1,1
"Two or more races, non-Hispanic",141,525,525
Race and/or ethnicity unknown,105,210,210
TOTAL,"2,053","7,513","7,526"
"","Recipients of aFederal PellGrant","Recipients of aSubsidizedStafford Loanwho did notreceive a PellGrant","Students who didnot receive eithera Pell Grant or asubsidizedStafford Loan","Total(sum of 3 columnsto the left)"
"Initial 2015 cohort of first-time, full-time, bachelor's (or equivalent)degree-seeking undergraduatestudents",178,28,1331,1537
"Of the initial 2015 cohort, how manydid not persist and did not graduatefor the following reasons:• Deceased• Permanently Disabled• Armed Forces• Foreign Aid Service of the FederalGovernment• Official church missions• Report Total Allowable Exclusions",2,0,0,2
"Final 2015 cohort, after adjusting forallowable exclusions",176,28,1331,1535
"Of the initial 2015 cohort, how manycompleted the program in four yearsor less (by Aug. 31, 2019)",150,25,1216,1391
"Of the initial 2015 cohort, how manycompleted the program in more thanfour years but in five years or less(after Aug. 31, 2019 and by Aug. 31,2020)",9,0,54,63
"Of the initial 2015 cohort, how manycompleted the program in more thanfive years but in six years or less(after Aug. 31, 2020 and by Aug. 31,2021)",4,1,13,18
"Total graduating within six years(sum of lines D, E, and F)",163,26,1283,1472
"Six-year graduation rate for 2015cohort (G divided by C)",92.6%,92.9%,96.4%,95.9%
"",,,Recipients of a,,
"",,,,Students who did,
"",,,Subsidized,,Total
"",,Recipients of a,,not receive either,
"",,,Stafford Loan,,
"",,Federal Pell,,a Pell Grant or a,
"",,,who did not,,(sum of 3 columns
"",,Grant,,subsidized,
"",,,receive a Pell,,to the left)
"",,,,Stafford Loan,
"",,,Grant,,
"","Initial 2014 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
A,,151,156,1138,1445
"",degree-seeking undergraduate,,,,
"",students,,,,
"","Of the initial 2014 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
B,• Permanently Disabled,0,1,0,1
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
"","Final 2014 cohort, after adjusting for",,,,
C,,151,155,1138,1444
"",allowable exclusions,,,,
"","Of the initial 2014 cohort, how many",,,,
D,completed the program in four years,129,141,1040,1310
"","or less (by Aug. 31, 2018)",,,,
"","Of the initial 2014 cohort, how many",,,,
"",completed the program in more than,,,,
E,four years but in five years or less,10,6,37,53
"","(after Aug. 31, 2018 and by Aug. 31,",,,,
"",2019),,,,
"","Of the initial 2014 cohort, how many",,,,
"",completed the program in more than,,,,
F,five years but in six years or less,3,4,16,23
"","(after Aug. 31, 2019 and by Aug. 31,",,,,
"",2020),,,,
"",Total graduating within six years,,,,
G,,142,151,1093,1386
"","(sum of lines D, E, and F)",,,,
"",Six-year graduation rate for 2014,,,,
H,,94.0%,97.4%,96.0%,96.0%
"",cohort (G divided by C),,,,
"",,2018 Cohort,,2017 Cohort,
B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:",,,,
B13,"Of the initial cohort, how many did not persist and did not graduate for the",,,,
"",following reasons:,,,,
"",• Death,,,,
"",• Permanently Disability,,,,
"","• Service in the armed forces,",,,,
"",• Foreign aid service of the federal government,,,,
"",• Official church missions,,,,
"",• Report total allowable exclusions,,,,
B14,"Final cohort, after adjusting for allowable exclusions:",,0,,0
B15,Completers of programs of less than two years duration (total):,,,,
B16,Completers of programs of less than two years within 150 percent of normal,,,,
"",time:,,,,
B17,Completers of programs of at least two but less than four years (total):,,,,
B18,Completers of programs of at least two but less than four-years within 150,,,,
"",percent of normal time:,,,,
B19,Total transfers-out (within three years) to other institutions:,,,,
B20,Total transfers to two-year institutions:,,,,
B21,Total transfers to four-year institutions:,,,,
"Total first-time, first-year (freshman) men who applied",17513
"Total first-time, first-year (freshman) women who applied",20445
"Total first-time, first-year (freshman) men who were admitted",1254
"Total first-time, first-year (freshman) women who were admitted",1206
"Total full-time, first-time, first-year (freshman) men who enrolled",1067
"Total part-time, first-time, first-year (freshman) men who enrolled",0
"Total full-time, first-time, first-year (freshman) women who enrolled",986
"Total part-time, first-time, first-year (freshman) women who enrolled",0
"Total first-time, first-year (degree-seeking) who applied",37974
"Total first-time, first-year (degree-seeking) who were admitted",2460
"Total first-time, first-year (degree-seeking) who enrolled",2053
WAITING LIST,TOTAL
Number of qualified applicants offered a place on waiting list:,
Number accepting a place on the waiting list:,
Number of wait-listed students admitted:,
"If yes, do you release that information to students?",X
Do you release that information to school counselors?,X
Total academic units
English
Mathematics
Science
"Of these, units that must be"
lab
Foreign language
Social studies
History
Academic electives
Computer Science
Visual/Performing Arts
Other (specify)
"",Very Important,Important,Considered,Not Considered
Academic,,,,
Rigor of secondary school,,,,
"",X,,,
record,,,,
Class rank,,,X,
Academic GPA,,,X,
Standardized test scores,,,X,
Application Essay,X,,,
Recommendation(s),X,,,
Nonacademic,,,,
Interview,,,,X
Extracurricular activities,X,,,
Talent/ability,X,,,
Character/personal qualities,X,,,
First generation,,,X,
Alumni/ae relation,,,X,
Geographical residence,,,X,
State residency,,,X,
Religious affiliation/commitment,,,X,
Racial/ethnic status,,,X,
Volunteer work,,,X,
Work experience,,,X,
Level of applicant’s interest,,,X,
"",,,ADMISSION,,
"",Require,Recommend,Require for Some,Consider if,Not
"",,,,Submitted,Used
SAT or ACT,,,,X,
ACT Only,,,,,
SAT Only,,,,,
SAT and SAT Subject Tests or,,,,,
SAT Subject Tests,,,,,X
""
""
X
""
""
X
"",
"",
"",
"",
"",
"",
X,X
""
X
""
""
""
""
""
""
X
""
Submitting SAT Scores,49%,1011
Submitting ACT Scores,35%,711
Assessment,25th Percentile,75th Percentile
SAT Composite,1510,1560
SAT Evidence-Based Reading and,,
"",740,780
Writing,,
SAT Math,770,800
ACT Composite,33,35
ACT Math,31,35
ACT English,34,36
ACT Writing,,
"",SAT Evidence-,
Score Range,Based Reading,SAT Math
"",and Writing,
700-800,95.25%,98.71%
600-699,4.75%,1.29%
500-599,0.00%,0.00%
400-499,0.00%,0.00%
300-399,0.00%,0.00%
200-299,0.00%,0.00%
Totals should = 100%,100.00%,100.00%
Score Range,SAT Composite
1400-1600,98.71%
1200-1399,1.29%
1000-1199,0.00%
800-999,0.00%
600-799,0.00%
400-599,0.00%
Totals should = 100%,100.00%
Score Range,ACT Composite,ACT English,ACT Math
30-36,98.59%,97.61%,88.47%
24-29,1.41%,2.25%,11.39%
18-23,0.00%,0.14%,0.14%
12-17,0.00%,0.00%,0.00%
6-11,0.00%,0.00%,0.00%
Below 6,0.00%,0.00%,0.00%
Totals should = 100%,100.00%,100.00%,100.00%
Assessment,Percent
Percent in top tenth of high school graduating class,99%
Percent in top quarter of high school graduating class,
"",100%
Percent in top half of high school graduating class,
"",100% Top half +
Percent in bottom half of high school graduating class,
"",0% bottom half = 100%
Percent in bottom quarter of high school graduating class,0%
"Percent of total first-time, first-year (freshmen) students who submitted",48%
Score Range,Percent
Percent who had GPA of 4.0,62.45%
Percent who had GPA between 3.75 and 3.99,24.54%
Percent who had GPA between 3.50 and 3.74,9.41%
Percent who had GPA between 3.25 and 3.49,2.43%
Percent who had GPA between 3.00 and 3.24,0.81%
Percent who had GPA between 2.50 and 2.99,0.15%
Percent who had GPA between 2.0 and 2.49,0.00%
Percent who had GPA between 1.0 and 1.99,
"",0.00%
Percent who had GPA below 1.0,
"",0.22%
Totals should = 100%,100.00%
"",Date
Application closing date (fall),
Priority Date,
"Does your institution enroll transfer students? (If no,",
"",X
please skip to Section E),
"If yes, may transfer students earn advanced standing",
credit by transferring credits earned from course work,X
completed at other colleges/universities?,
"",,Admitted,Enrolled
"",Applicants,,
"",,Applicants,Applicants
Men,620,87,63
Women,445,58,49
Total,"1,065",145,112
"",,Recommended,Recommended,Required of,
"",Required of All,,,,Not Required
"",,of All,of Some,Some,
High school transcript,X,,,,
College transcript(s),X,,,,
Essay or personal,,,,,
"",X,,,,
statement,,,,,
Interview,,,,,X
Standardized test scores,,,,,X
Statement of good,,,,,
standing from prior,X,,,,
institution(s),,,,,
D9,,Priority Date,Closing Date,Notification Date,Reply Date,Rolling
"",,,,,,Admission
D9,Fall,,,,,
D9,Winter,,,,,
D9,Spring,,,,,
D9,Summer,,,,,
"","First-time, first-",
"",year (freshman),Undergraduates
"",students,
Percent who are from out of state (exclude,,
international/nonresident aliens from the numerator,87%,83%
and denominator),,
Percent of men who join fraternities,,
Percent of women who join sororities,,
"Percent who live in college-owned, -operated, or -",,
"",100%,59%
affiliated housing,,
Percent who live off campus or commute,,
Percent of students age 25 and older,0%,1%
Average age of full-time students,18,20
Average age of all students (full- and part-time),18,20
"",,At Cooperating,Name of Cooperating
"",On Campus,,
"",,Institution,Institution
Army ROTC is offered:,Yes,Yes,University of Illinois at Chicago
"",,Yes (UC students,
"",are not eligible to No,,Northwestern University
"",,particpate in Naval,
Naval ROTC is offered:,,ROTC),
Air Force ROTC is offered:,Yes (UC students,Yes,Illinois Institute of Technology
G1,,First-Year,Undergraduates
"",PRIVATE INSTITUTIONS,,
"",Tuition:,"$61,179","$61,179"
"",PUBLIC INSTITUTIONS,,
"",Tuition: In-district,,
"",Tuition: In-state (out-of-district):,,
"",Tuition: Out-of-state:,,
"",Tuition: Non-resident alien,,
"",FOR ALL INSTITUTIONS,,
"",Required Fees,"$3,081","$1,761"
"",Room and Board (on-campus):,"$18,396","$18,396"
"",Room Only (on-campus):,,
"",Board Only (on-campus meal plan):,,
G3,"Do tuition and fees vary by year of study (e.g., sophomore,"
"","Xjunior, senior)?"
G4,Do tuition and fees vary by undergraduate instructional
"",program?X
"",,Commuters,Commuters
"",Residents,,
"",,(living at home),(not living at home)
Books and supplies:,"$1,800","$1,800","$1,800"
Room only:,,,
Board only:,,"$4,968",
Room and board total*,,,"$15,000"
Transportation:,,,
Other expenses:,"$2,400","$2,400","$2,400"
PRIVATE INSTITUTIONS:,N/A
PUBLIC INSTITUTIONS:,
In-district:,
In-state (out-of-district):,
Out-of-state:,
NONRESIDENT ALIENS:,
"",,Non-need-
"",Need-based,
"",,based
"",(Include non-,
"",,(Exclude non-
"",need-based aid,
"",,need-based aid
"",use to meet,
"",,use to meet
"",need.),
"",,need.)
Scholarships/Grants,,
Federal,"$7,731,519",$0
"State all states, not only the state in which your institution is",,
located,"$883,024",$0
"Institutional: Endowed scholarships, annual gifts and tuition",,
"funded grants, awarded by the college, excluding athletic aid and",,
tuition waivers (which are reported below).,"$137,577,844","$27,004,141"
"Scholarships/grants from external sources (e.g. Kiwanis,",,
National Merit) not awarded by the college,"$2,629,154","$3,307,171"
Total Scholarships/Grants,"$148,821,541","$30,311,312"
Self-Help,,
Student loans from all sources (excluding parent loans),"$941,841","$4,085,843"
Federal Work-Study,"$5,425,156",
