""
""
""
""
""
""
""
""
""
""
""
""
"",,FULL-TIME,,,PART-TIME,,,,TOTAL,
"",Men,Women Anot,Total,Men,Women Anot Total,,Men,Women,Another,Total
"",,her,,,her,,,,Gender,
"",,Gend,,,Gend,,,,,
"",,er,,,er,,,,,
Undergraduate,,,,,,,,,,
Students,,,,,,,,,,
"Degree-seeking, first-",,,,,,,,,,
time first-year,"3,561","3,456 0","7,017",50,39 0 89,,"3,611","3,495","0 7,106",
"Other first-year, degree-",,,,,,,,,,
seeking,"1,352",939 0,"2,291",128,69 0 197,,"1,480","1,008","0 2,488",
All other degree-seeking,"10,417","8,961 0","19,378","1,040","659 0 1,699",,"11,457","9,620","0 21,077",
Total degree-seeking,"15,330","13,356 0","28,686","1,218","767 0 1,985",,"16,548","14,123","0 30,671",
All other undergraduates,,,,,,,,,,
enrolled in credit courses,47,23 0,70,155,207 0 362,,202,230,0 432,
Total undergraduates,"15,377","13,379 0","28,756","1,373","974 0 2,347",,"16,750","14,353","0 31,103",
Graduate Students,,,,,,,,,,
"Degree-seeking, first-",,,,,,,,,,
time,530,448 0,978,396,287 0 683,,926,735,"0 1,661",
All other degree-seeking,984,886 0,"1,870","2,000","1,457 0 3,457",,"2,984","2,343","0 5,327",
Total degree-seeking,"1,514","1,334","2,848","2,396","1,744 0 4,140",,"3,910","3,078","0 6,988",
All other graduates,,,,,,,,,,
enrolled in credit courses,3,1 0,4,44,83 0 127,,47,84,0 131,
Total graduate,"1,517","1,335 0","2,852","2,440","1,827 0 4,267",,"3,927","3,162","7,119",
ALL STUDENTS,,,,,,,,,,
-- Grand Total,"16,894","14,714 0","31,608","3,813","2,801 0 6,614",,"20,707","17,515","0 38,222",
"",Degree-seeking,Degree-seeking,Total
"",First-time First year,Undergraduates,Undergraduates
"",,(include first-time,(both degree- and
"",,first-year),non-degree-
"",,,seeking)
Nonresidents,132,856,988
Hispanic/Latino,903,"3,089","3,992"
"Black or African American, non-",,,
Hispanic,148,387,535
"White, non-Hispanic","4,891","16,072","20,963"
American Indian or Alaska,,,
"Native, non-Hispanic",17,31,48
"Asian, non-Hispanic",471,"1,426","1,897"
Native Hawaiian or other Pacific,,,
"Islander, non-Hispanic",8,20,28
"Two or more races, non-Hispanic",490,"1,509","1,999"
Race and/or ethnicity unknown,46,175,221
Total,"7,106","23,565","30,671"
AWARD TYPE,"# AWARDED"
Certificate/diploma:,0
Associate degrees:,0
Bachelor’s degrees:,"6,754"
Post-bachelor’s certificates:,0
Master’s degrees:,"1,757"
Post-master’s certificates:,0
Doctoral degrees – research/scholarship:,427
Doctoral degrees – professional practice:,178
Doctoral degrees – other:,0
"",Recipients of,Recipients of a,Students who did,Total (sum of 3
"",a Federal Pell,Subsidized Stafford,not receive either a,columns to the
"",Grant,Loan who did not,Pell Grant or a,left)
"",,receive a Pell Grant,subsidized,
"",,,Stafford Loan,
A - Initial 2016 cohort of,928,849,"4,601",
"first-time, full-time,",,,,"6,378"
bachelor's (or equivalent),,,,(formerly B4)
degree-seeking,,,,
undergraduate students,,,,
B - Of the initial 2016,1,0,2,3
"cohort, how many did not",,,,(formerly B5)
persist and did not graduate,,,,
for the following reasons:,,,,
"deceased, permanently",,,,
"disabled, armed forces,",,,,
foreign aid service of the,,,,
"federal government, or",,,,
official church missions;,,,,
total allowable exclusions,,,,
"C - Final 2016 cohort, after",927,849,"4,599","6,375"
adjusting for allowable,,,,(formerly B6)
exclusions,,,,
D - Of the initial 2016,446 [44%],463 [48%],"2,745  [56%]","3,654  [53%]"
"cohort, how many",,,,(formerly B7)
completed the program in,,,,
four years or less (by Aug.,,,,
"31, 2020)",,,,
E - Of the initial 2016,154 [18%],122 [17%],665 [18%],941 [19%]
"cohort, how many",,,,(formerly B8)
completed the program in,,,,
more than four years but in,,,,
five years or less (after Aug.,,,,
"31, 2020 and by Aug. 31,",,,,
2021),,,,
F - Of the initial 2016,26 [4%],32 [5%],107 [3%],165 [4%]
"cohort, how many",,,,(formerly B9)
completed the program in,,,,
more than five years but in,,,,
six years or less (after Aug.,,,,
"31, 2021 and by Aug. 31,",,,,
2022),,,,
G - Total graduating within,626,617,"3,517","4,760"
"six years (sum of lines D, E,",,,,(formerly B10)
and F),,,,
H - Six-year graduation rate,68%,73%,76%,75%
for 2016 cohort (G divided,,,,(formerly B11)
by C),,,,
"",Recipients,Recipients of,Students who,Total (sum of 3
"",of a Federal,a Subsidized,did not,columns to the
"",Pell Grant,Stafford Loan,receive either,left)
"",,who did not,a Pell Grant or,
"",,receive a Pell,a subsidized,
"",,Grant,Stafford Loan,
"A - Initial 2015 cohort of first-time,",976,926,"4,277","6,179"
"full-time, bachelor's (or equivalent)",,,,(formerly B4)
degree-seeking undergraduate,,,,
students,,,,
"B - Of the initial 2015 cohort, how",0,1,7,8
many did not persist and did not,,,,(formerly B5)
graduate for the following reasons:,,,,
"deceased, permanently disabled,",,,,
"armed forces, foreign aid service of",,,,
"the federal government, or official",,,,
church missions; total allowable,,,,
exclusions,,,,
"C - Final 2015 cohort, after",976,925,"4,270","6,171"
adjusting for allowable exclusions,,,,(formerly B6)
"D - Of the initial 2015 cohort, how",426 [44%],446 [48%],"2,398  [56%]","3,270  [53%]"
many completed the program in,,,,(formerly B7)
"four years or less (by Aug. 31,",,,,
2019),,,,
