Mailing Address,1000 Hilltop Circle
City,Baltimore
State,Maryland
Mailing Address,1000 Hilltop Circle
City,Baltimore
State,Maryland
County,Baltimore
Zip Code,21250
Country,United States
Admissions Office Mailing,1000 Hilltop Circle
Address,
"",,FULL-TIME,,PART-TIME,,
"",,Another,,,,Another
"",Men,Women Men,,Women,,
"",,Gender,,,,Gender
Undergraduate Students,,Undergraduate Students,,,,
"Degree-seeking, first-",,,,,,
"",1131,999 6,,8,,
time  students,,,,,,
"Other first-year, degree-seeking",,,,,,
379students,316,49,,82,,
All other degree-seeking,,,,,,
undergraduate students,,,,,,
"",3416,2828742,,601,,
Total degree-seeking,,,,,,
"",4863,797,,691,,
undergraduate students,,4206,,,,
All other undergraduates,,,,,,
"",,0 24,,44,,
enrolled in credit courses,0,,,,,
Undergraduate Students,4863,4206 821,,735,,
Graduate Students,,Graduate Students,,,,
"Degree-seeking, first-time",539,436 114,,150,,
All other degree-seeking,677,562 425,,423,,
All other graduates enrolled in,,,,,,
24credit courses,0,1 15,,,,
Total Graduate Students,1216,999 554,,597,,
Total All Students,6079,5205 1375,,1332,,
"",,,Total
"",,Degree-seeking,
"",Degree-seeking,,Undergraduates
"",,Undergraduates,
"",First-time First,,(both degree- and
"",,(include first-time,
"",year,,non-degree-
"",,first-year),
"",,,seeking)
Nonresidents,107,492,493
Hispanic/Latino,198,980,989
"Black or African American, non-Hispanic",574,2418,2427
"White, non-Hispanic",547,3412,3447
"American Indian or Alaska Native, non-",,,
"",1,10,10
Hispanic,,,
"Asian, non-Hispanic",561,2465,2474
"Native Hawaiian or other Pacific Islander,",,,
"",3,6,6
non-Hispanic,,,
"Two or more races, non-Hispanic",129,620,622
Race and/or ethnicity unknown,24,154,157
Total,2144,10557,10625
AWARD TYPE,"# AWARDED"
Certificate/diploma:,136
Associate degrees:,
Bachelor’s degrees:,2783
Post-bachelor’s certificates:,188
Master’s degrees:,687
Post-master’s certificates:,
Doctoral degrees –,
"",103
research/scholarship:,
Doctoral degrees – professional,
practice:,
Doctoral degrees – other:,
"",,,,Recipients of a,Students who,
"",,,,,,Total
"",,,,Subsidized,did not receive,
"",,,Recipients of a,,,
"",,,,Stafford Loan,either a Pell,
"",,,Federal Pell,,,(sum of 3
"",,,,who did not,Grant or a,
"",,,Grant,,,columns to the
"",,,,receive a Pell,subsidized,
"",,,,,,left)
"",,,,Grant,Stafford Loan,
"","Initial 201 cohort of first-time, full-time,",,,,,
A,bachelor's (or equivalent) degree-,,335,238,945,1518
"",seeking undergraduate students,,,,,
"","Of the initial 201 cohort, how many did",,,,,
"",not persist and did not graduate for the,,,,,
"",following reasons:,,,,,
"",Deceased,,,,,
B,Permanently Disabled,,0,0,1,1
"",Armed Forces,,,,,
"",Foreign Aid Service of the Federal Government,,,,,
"",Official church missions,,,,,
"",Report Total Allowable Exclusions,,,,,
"cohort, after adjusting C",Final 201,,335,238,944,1517
"",for allowable exclusions,,,,,
"","Of the initial 201  cohort, how many",,,,,
D,completed the program in four years or,,133,104,469,706
"","less (by Aug. 31, 20 )",,,,,
"",,,,Recipients of a,Students who,
"",,,,,,Total
"",,,,Subsidized,did not receive,
"",,,Recipients of a,,,
"",,,,Stafford Loan,either a Pell,
"",,,Federal Pell,,,(sum of 3
"",,,,who did not,Grant or a,
"",,,Grant,,,columns to the
"",,,,receive a Pell,subsidized,
"",,,,,,left)
"",,,,Grant,Stafford Loan,
"","Of the initial 201  cohort, how many",,,,,
"",completed the program in more than,,,,,
E,four years but in five years or less,,55,53,167,275
"","(after Aug. 31, 20 and by Aug. 31,",,,,,
"",202 ),,,,,
"","Of the initial 201  cohort, how many",,,,,
"",completed the program in more than,,,,,
F,five years but in six years or less,,21,10,45,76
"","(after Aug. 31, 202 and by Aug. 31,",,,,,
"",202 ),,,,,
Total graduating within six years (sum G,,,209,167,681,1057
