Name:,Sara Lazenby
Title:,Institutional Policy Analyst
"","Data, Academic Planning, and Institutional Research,"
Office:,Office of the Provost
Mailing Address:,170 Bascom Hall 500 Lincoln Drive
City/State/Zip/Country:,"Madison, WI 53706"
Phone:,608-263-5945
Fax:,
E-mail Address:,sara.lazenby@wisc.edu
Name of College/University:,University of Wisconsin--Madison
Mailing Address:,500 Lincoln Drive
City/State/Zip/Country:,"Madison, WI 53706 USA"
Street Address (if different):,
City/State/Zip/Country:,
Main Phone Number:,608-263-2400
WWW Home Page Address:,https://www.wisc.edu
Admissions Phone Number:,608-262-3961
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,"702 West Johnson Street, Suite 1101"
City/State/Zip/Country:,"Madison, WI 53715"
Admissions Fax Number:,
Admissions E-mail Address:,onwisconsin@admissions.wisc.edu
"",,,FULL-TIME,,,PART-TIME
"",Men,,Women,Another Another GenderGender,Men,Women
Undergraduates,,,,,,
"Degree-seeking, first-time, first-",,,,,,
year,3904,,"4,701",0,,14 9 0
"Other first-year, degree-seeking",0,,0,0,,0 0 0
All other degree-seeking,"11,696",,"13,246",0,,893 721 0
Total degree-seeking,"15,600",,"17,947",0,,907 730 0
All other undergraduates enrolled,190,,151,0,,819 886 0
Total undergraduates,"15,790",,"18,098",0,,"1,726 1,616 0"
Graduate,,,,,,
"Degree-seeking, first-time",1334,,1508,,0,159 185 0
All other degree-seeking,3560,,4014,,0,871 1025 0
All other graduates enrolled in,0,,0,,0,0 0 0
Total graduate,4894,,5522,,0,1030 1210 0
Total all students,"20,684",,"23,620",0,,"2,756 2,826 0"
"",Degree-
"",TotalDegree-Seeking Seeking
"",Undergraduates (both  First-Time
"",degree & non-degree- First Year Undergraduate
"",s (include first- seeking)
"",time first-year)
Nonresidents,"745 3,517 3,860"
Hispanic/Latino,"796 2,645 2,726"
"Black or African American, non-Hispanic",246 790 888
"White, non-Hispanic","4,902 21,988 23,275"
"American Indian or Alaska Native, non-Hispanic",20 81 87
"Asian, non-Hispanic","1,147 3,421 3,523"
"Native Hawaiian or other Pacific Islander, non-Hispa",4 25 25
"Two or more races, non-Hispanic","482 1,564 1,609"
Race and/or ethnicity unknown,"286 1,153 1,237"
"",,,Recipients of a,,
"",,,,who did not,
"",,Recipients of a,,,
"",,,Subsidized,,Total
"",,Federal Pell,,,
"",,,Stafford Loan,receive,
"",,Grant,,,
"",,,who did not,either a Pell,(sum of 3 columns to
"",,,receive a Pell,Grant or a,the left)
"",,,Grant,subsidized,
"",,,,Stafford,
A,"Initial 2016 cohort of first-time, full-",,,,
"","time, bachelor's (or equivalent)",,,,
"",degree-seeking undergraduate,710,1172,4548,6430
"",students,,,,
B,"Of the initial 2016 cohort, how many",,,,
"",did not persist and did not graduate,,,,
"",for the following reasons:,,,,
"",• Deceased,,,,
"",• Permanently Disabled,0,0,0,0
"",• Armed Forces,,,,
"",• Foreign Aid Service of the Federal,,,,
"",Government,,,,
"",• Official church missions,,,,
"",• Report Total Allowable Exclusions,,,,
C,"Final 2016 cohort, after adjusting for",,,,
"",allowable exclusions,710,1172,4548,6430
D,,,,,
"","Of the initial 2016 cohort, how many",,,,
"",completed the program in four years,423,808,3370,4601
"","or less (by Aug. 31, 2020)",,,,
E,"Of the initial 2016 cohort, how many",,,,
"",completed the program in more than,,,,
"",four years but in five years or less,162,187,698,1047
"","(after Aug. 31, 2020 and by Aug. 31,",,,,
"",2021),,,,
F,"Of the initial 2016 cohort, how many",,,,
"",completed the program in more than,,,,
"",five years but in six years or less,16,13,59,88
"","(after Aug. 31, 2021 and by Aug. 31,",,,,
"",2022),,,,
G,Total graduating within six years,,,,
"","(sum of lines D, E, and F)",601,1008,4127,5736
H,,,,,
"",Six-year graduation rate for 2016,,,,
"",cohort (G divided by C),84.6%,86.0%,90.7%,89.2%
"",,,Recipients of a,,
"",,,,Students,
"",,,,who did not,
"",,Recipients of a,,,
"",,,Subsidized,,
"",,,Stafford Loan,,
"",,,,receive,Total
"",,Federal Pell,,,
"",,Grant,,,
"",,,who did not,,
"",,,,either a Pell,
"",,,receive a Pell,,
"",,,,Grant or a,(sum of 3 columns to
"",,,,,the left)
"",,,Grant,,
"",,,,subsidized,
"",,,,Stafford,
"","Initial 2015 cohort of first-time, full-",,,,
A,"time, bachelor's (or equivalent)",,,,
"",degree-seeking undergraduate,741,1041,4488,6270
"",students,,,,
"","Of the initial 2015 cohort, how many",,,,
